Pairs of Adélie, chinstrap and gentoo penguins recorded in study areas at Signy Island 1978/79–2015/16 : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5082682/			
Season	Adelie count	Chinstrap count	Gentoo count
1978	1873	2050	370
1979	2269	2253	303
1980	1726	1809	330
1981	1831	2250	341
1982	2631	2334	299
1983	2334	2176	330
1984	2464	1929	370
1985	2787	2219	407
1986	3055	2218	362
1987	3063	1820	500
1988	3395	2206	532
1989	2904	2405	605
1990	2012	1761	390
1991	2496	2181	484
1992	2546	2145	536
1993	2725	2277	568
1994	2074	1655	595
1995	2417	1748	677
1996	2676	1694	726
1998	2688	1836	898
1999	1313	1440	851
2000	1939	1579	957
2001	1888	1785	954
2002	2337	1786	937
2003	1533	1847	790
2004	1560	1791	800
2005	1601	1562	704
2006	1690	1527	668
2007	1299	1513	689
2008	1474	1564	730
2009	901	1159	753
2011	1659	1625	1009
2012	1040	1053	760
2013	1731	1417	1136
2014	1873	1533	1197
2015	2212	1464	1315
